fecha,cantidad
31/01/2020,5
04/02/2020,2
05/02/2020,1
12/02/2020,1
18/02/2020,1
26/02/2020,11
27/02/2020,8
28/02/2020,8
02/03/2020,12
03/03/2020,11
04/03/2020,27
05/03/2020,26
06/03/2020,16
07/03/2020,21
08/03/2020,20
09/03/2020,75
10/03/2020,68
11/03/2020,110
12/03/2020,155
13/03/2020,218
14/03/2020,113
15/03/2020,84
16/03/2020,188
17/03/2020,270
18/03/2020,302
19/03/2020,247
20/03/2020,323
21/03/2020,276
22/03/2020,300
23/03/2020,449
24/03/2020,477
25/03/2020,675
26/03/2020,718
27/03/2020,718
28/03/2020,685
29/03/2020,544
30/03/2020,846
31/03/2020,732
01/04/2020,1111
02/04/2020,1150
03/04/2020,1220
04/04/2020,973
05/04/2020,780
06/04/2020,1503
07/04/2020,1435
08/04/2020,1530
09/04/2020,1603
10/04/2020,1180
11/04/2020,1716
12/04/2020,1511
13/04/2020,1993
14/04/2020,1663
15/04/2020,1984
16/04/2020,1990
17/04/2020,2203
18/04/2020,1744
19/04/2020,1469
20/04/2020,2530
21/04/2020,2320
22/04/2020,2249
23/04/2020,2502
24/04/2020,2564
25/04/2020,1827
26/04/2020,1215
27/04/2020,2342
28/04/2020,2629
29/04/2020,2575
30/04/2020,2519
01/05/2020,1566
02/05/2020,1742
03/05/2020,1694
04/05/2020,2449
05/05/2020,2301
06/05/2020,2376
07/05/2020,2616
08/05/2020,2346
09/05/2020,2075
10/05/2020,1595
11/05/2020,3030
12/05/2020,2838
13/05/2020,3009
14/05/2020,3120
15/05/2020,3354
16/05/2020,2377
17/05/2020,2265
18/05/2020,3860
19/05/2020,3989
20/05/2020,4227
21/05/2020,4261
22/05/2020,4474
23/05/2020,3289
24/05/2020,2800
25/05/2020,2892
26/05/2020,4390
27/05/2020,5138
28/05/2020,4804
29/05/2020,4913
30/05/2020,3878
31/05/2020,2802
01/06/2020,4778
02/06/2020,5025
03/06/2020,5056
04/06/2020,5203
05/06/2020,5079
06/06/2020,4124
07/06/2020,3227
08/06/2020,5741
09/06/2020,5712
10/06/2020,6282
11/06/2020,6392
12/06/2020,7068
13/06/2020,5137
14/06/2020,3985
15/06/2020,4671
16/06/2020,7333
17/06/2020,7259
18/06/2020,7985
19/06/2020,7367
20/06/2020,6857
21/06/2020,4974
22/06/2020,8335
23/06/2020,9277
24/06/2020,9627
25/06/2020,9255
26/06/2020,9407
27/06/2020,7048
28/06/2020,5522
29/06/2020,9069
30/06/2020,9076
01/07/2020,8797
02/07/2020,8994
03/07/2020,9637
04/07/2020,7131
05/07/2020,6055
06/07/2020,10553
07/07/2020,11420
08/07/2020,11556
09/07/2020,9083
10/07/2020,9286
11/07/2020,8854
12/07/2020,7082
13/07/2020,12873
14/07/2020,13176
15/07/2020,13024
16/07/2020,13501
17/07/2020,13506
18/07/2020,8834
19/07/2020,8983
20/07/2020,14160
21/07/2020,15290
22/07/2020,15982
23/07/2020,15264
24/07/2020,15376
25/07/2020,11074
26/07/2020,8418
27/07/2020,15690
28/07/2020,16297
29/07/2020,16587
30/07/2020,17144
31/07/2020,16475
01/08/2020,10783
02/08/2020,10887
03/08/2020,18135
04/08/2020,21119
05/08/2020,19218
06/08/2020,20808
07/08/2020,19627
08/08/2020,11790
09/08/2020,12071
10/08/2020,20331
11/08/2020,21788
12/08/2020,20424
13/08/2020,20405
14/08/2020,21940
15/08/2020,14521
16/08/2020,11588
17/08/2020,14036
18/08/2020,20958
19/08/2020,22805
20/08/2020,21239
21/08/2020,21977
22/08/2020,15153
23/08/2020,11006
24/08/2020,24831
25/08/2020,24748
26/08/2020,25478
27/08/2020,25570
28/08/2020,26222
29/08/2020,16979
30/08/2020,12886
31/08/2020,26331
01/09/2020,25712
02/09/2020,24710
03/09/2020,26302
04/09/2020,27257
05/09/2020,18456
06/09/2020,13285
07/09/2020,26994
08/09/2020,28869
09/09/2020,27611
10/09/2020,29568
11/09/2020,28657
12/09/2020,17042
13/09/2020,14427
14/09/2020,27183
15/09/2020,27726
16/09/2020,28025
17/09/2020,28299
18/09/2020,28112
19/09/2020,18057
20/09/2020,12826
21/09/2020,23520
22/09/2020,29251
23/09/2020,29085
24/09/2020,27590
25/09/2020,29301
26/09/2020,19191
27/09/2020,13869
28/09/2020,29225
29/09/2020,28195
30/09/2020,29271
01/10/2020,29032
02/10/2020,29816
03/10/2020,19368
04/10/2020,13436
05/10/2020,29480
06/10/2020,32915
07/10/2020,29473
08/10/2020,35105
09/10/2020,33706
10/10/2020,20573
11/10/2020,16508
12/10/2020,18165
13/10/2020,32949
14/10/2020,34365
