fecha,cantidad
29/12/2020,20486
30/12/2020,20102
31/12/2020,2806
01/01/2021,127
02/01/2021,3312
03/01/2021,444
04/01/2021,10461
05/01/2021,10729
06/01/2021,10112
07/01/2021,18226
08/01/2021,27892
09/01/2021,10209
10/01/2021,1177
11/01/2021,19825
12/01/2021,19392
13/01/2021,16774
14/01/2021,16653
15/01/2021,17445
16/01/2021,5884
17/01/2021,1062
18/01/2021,9832
19/01/2021,13250
20/01/2021,19428
21/01/2021,14119
22/01/2021,9220
23/01/2021,3945
24/01/2021,303
25/01/2021,14215
26/01/2021,12815
27/01/2021,10109
28/01/2021,16047
29/01/2021,23503
30/01/2021,9314
31/01/2021,624
01/02/2021,19529
02/02/2021,23878
03/02/2021,26618
04/02/2021,28138
05/02/2021,33044
06/02/2021,10929
07/02/2021,1384
08/02/2021,23429
09/02/2021,20199
10/02/2021,15628
11/02/2021,17857
12/02/2021,15842
13/02/2021,3036
14/02/2021,152
15/02/2021,1318
16/02/2021,1313
17/02/2021,24411
18/02/2021,63830
19/02/2021,67898
20/02/2021,32621
21/02/2021,20180
22/02/2021,67577
23/02/2021,86960
24/02/2021,93827
25/02/2021,79534
26/02/2021,81701
27/02/2021,17904
28/02/2021,6128
01/03/2021,74569
02/03/2021,75633
03/03/2021,71481
04/03/2021,112084
05/03/2021,111753
06/03/2021,54942
07/03/2021,11794
08/03/2021,102503
09/03/2021,115811
10/03/2021,163982
11/03/2021,186857
12/03/2021,161679
13/03/2021,46393
14/03/2021,9173
15/03/2021,137631
16/03/2021,133750
17/03/2021,139589
18/03/2021,138965
19/03/2021,126203
20/03/2021,50881
21/03/2021,19632
22/03/2021,83070
23/03/2021,106485
24/03/2021,37469
25/03/2021,103199
26/03/2021,93572
27/03/2021,55094
28/03/2021,20828
29/03/2021,120199
30/03/2021,163035
31/03/2021,174974
01/04/2021,117149
02/04/2021,68164
03/04/2021,74476
04/04/2021,48488
05/04/2021,166007
06/04/2021,194026
07/04/2021,238453
08/04/2021,235979
09/04/2021,240417
10/04/2021,92948
11/04/2021,48316
12/04/2021,181826
13/04/2021,186083
14/04/2021,171699
15/04/2021,151116
16/04/2021,123735
17/04/2021,45721
18/04/2021,19904
19/04/2021,90498
20/04/2021,122739
21/04/2021,173983
22/04/2021,178213
23/04/2021,194578
24/04/2021,92236
25/04/2021,49321
26/04/2021,172137
27/04/2021,153763
28/04/2021,159019
29/04/2021,156287
30/04/2021,114965
01/05/2021,20304
02/05/2021,40179
03/05/2021,174732
04/05/2021,232066
05/05/2021,245021
06/05/2021,202827
07/05/2021,205387
08/05/2021,74283
09/05/2021,18698
10/05/2021,141683
11/05/2021,140461
12/05/2021,197625
13/05/2021,192166
14/05/2021,196517
15/05/2021,95098
16/05/2021,67600
17/05/2021,186970
18/05/2021,198277
19/05/2021,167745
20/05/2021,182619
21/05/2021,177294
22/05/2021,100451
23/05/2021,45273
24/05/2021,88374
25/05/2021,63426
26/05/2021,153126
27/05/2021,169431
28/05/2021,246111
29/05/2021,227505
30/05/2021,128846
31/05/2021,299023
01/06/2021,314950
02/06/2021,309378
03/06/2021,349672
04/06/2021,408205
05/06/2021,326830
06/06/2021,217365
07/06/2021,353192
08/06/2021,369945
09/06/2021,372388
10/06/2021,335085
11/06/2021,366823
12/06/2021,185122
13/06/2021,82676
14/06/2021,237989
15/06/2021,257870
16/06/2021,287150
17/06/2021,314415
18/06/2021,399344
19/06/2021,232609
20/06/2021,99215
21/06/2021,169716
22/06/2021,287902
23/06/2021,263170
24/06/2021,304546
25/06/2021,376811
26/06/2021,316308
27/06/2021,176245
28/06/2021,373096
29/06/2021,374482
30/06/2021,375799
01/07/2021,432265
02/07/2021,415679
03/07/2021,336675
04/07/2021,196536
05/07/2021,409944
06/07/2021,416906
07/07/2021,404237
